k8,k16,b4,e11,l1,b5,b2b,d2,j2,survey_year,firm_age,log_size,log_sales,survey_year_cat,target_formal_credit,target_applied_credit,k82a,k162a,k162b
no,no,no,yes,20.0,1981.0,0.0,2558405.0,0.0,2013,32.0,3.044522437723423,14.754894966274836,2013,0.0,0.0,,,
no,no,,no,9.0,1981.0,0.0,110421.0,0.0,2013,32.0,2.302585092994046,11.612064668334753,2013,0.0,0.0,,,
yes,no,,no,6.0,1985.0,0.0,2000000.0,60.0,2013,28.0,1.9459101490553132,14.508658238524095,2013,1.0,0.0,,,
no,no,no,yes,2.0,1981.0,0.0,250000.0,1.0,2013,32.0,1.0986122886681098,12.429220196836383,2013,0.0,0.0,,,
no,no,no,yes,30.0,1971.0,0.0,,,2013,42.0,3.4339872044851463,,2013,0.0,0.0,,,
no,no,,yes,7.0,1991.0,0.0,8545998.0,0.0,2013,22.0,2.0794415416798357,15.960973778172292,2013,0.0,0.0,,,
,,,yes,3.0,,0.0,,,2013,,1.3862943611198906,,2013,,,,,
no,no,no,yes,4.0,1981.0,0.0,200000.0,0.0,2013,32.0,1.6094379124341003,12.206077645517674,2013,0.0,0.0,,,
no,no,no,yes,1.0,1960.0,0.0,,0.0,2013,53.0,0.6931471805599453,,2013,0.0,0.0,,,
no,no,no,,5.0,1972.0,0.0,300000.0,0.0,2013,41.0,1.791759469228055,12.611541086966115,2013,0.0,0.0,,,
no,no,yes,yes,45.0,1952.0,0.0,5000000.0,0.0,2013,61.0,3.828641396489095,15.424948670398354,2013,0.0,0.0,,,
no,no,no,no,50.0,1970.0,0.0,6000000.0,10.0,2013,43.0,3.9318256327243257,15.607270193858982,2013,0.0,0.0,,,
no,no,no,,6.0,1971.0,0.0,60000.0,0.0,2013,42.0,1.9459101490553132,11.002116507732017,2013,0.0,0.0,,,
no,no,no,yes,11.0,2005.0,0.0,35000.0,0.0,2013,8.0,2.4849066497880004,10.463131911491967,2013,0.0,0.0,,,
yes,,no,no,100.0,1997.0,0.0,1500000.0,10.0,2013,16.0,4.61512051684126,14.220976332738882,2013,1.0,,,,
no,no,no,,7.0,1995.0,0.0,50000.0,,2013,18.0,2.0794415416798357,10.819798284210286,2013,0.0,0.0,,,
no,no,,yes,300.0,1992.0,0.0,1000000.0,10.0,2013,21.0,5.707110264748875,13.815511557963774,2013,0.0,0.0,,,
yes,no,no,no,150.0,2001.0,0.0,5000000.0,7.0,2013,12.0,5.017279836814924,15.424948670398354,2013,1.0,0.0,,,
